AreaColumns,Timecolumns,dataValue,stfips,areatype,area,maparea,areaname,Stateabbrv,seriescode,seriestitle,adjusted,CURempces,CURempprodwrk,CURempfemale,CURhours,CURearnings,CURhourearn,CURhoursallwrkr,CURearningsallwrkr,CURhourearnallwrkr,CURsupprecord,CURsupphe,CURsupppw,CURsuppfem,CURsuppheallwrkr,CURprelim,PYempces,PYempprodwrk,PYempfemale,PYhours,PYearnings,PYhourearn,PYhoursallwrkr,PYearningsallwrkr,PYhourearnallwrkr,PYsupprecord,PYsupphe,PYsupppw,PYsuppfem,PYsuppheallwrkr,PYprelim,PMempces,PMempprodwrk,PMempfemale,PMhours,PMearnings,PMhourearn,PMhoursallwrkr,PMearningsallwrkr,PMhourearnallwrkr,PMsupprecord,PMsupphe,PMsupppw,PMsuppfem,PMsuppheallwrkr,PMprelim,CURperiodyear,CURperiodtype,CURperiod,PMperiodyear,PMperiodtype,PMperiod,PYperiodyear,PYperiodtype,PYperiod,Timeperiod,PriorMonthTimeperiod,PriorYearTimeperiod,MonthSpanTimeperiod,YearSpanTimeperiod,Fullperiod,Sortperiod,Rank,MonthEmploymentChangeAll,YearEmploymentChangeAll,MonthEmploymentChangeProd,YearEmploymentChangeProd,SeriesLevel,ChildPrefix,HasChildren,ParentCode,Preliminary,PriorMonthPreliminary,PriorYearPreliminary,seriesselection
,,,00,00,000000,0000000000,United States,US,60541310,Architectural services,0,189600,138900,77100,38.4,1330.94,34.66,38.2,1587.97,41.57,0,0,0,0,0,0,197600,146600,80800,39.7,1401.41,35.30,39.9,1641.49,41.14,0,0,0,0,0,0,189000,138500,76600,38.3,1344.71,35.11,38.1,1586.48,41.64,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1650,600,-8000,400,-7700,4,6054131,False,60541300,No,No,No,Architectural services:60541310
,,,00,00,000000,0000000000,United States,US,60541320,Landscape architectural services,0,33500,24200,10600,34.9,1072.13,30.72,36.3,1245.82,34.32,0,0,0,0,0,0,30200,23500,9700,32.3,856.27,26.51,34.4,1050.92,30.55,0,0,0,0,0,0,33700,24700,10300,34.8,1052.70,30.25,36.1,1232.82,34.15,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1651,-200,3300,-500,700,4,6054132,False,60541300,No,No,No,Landscape architectural services:60541320
,,,00,00,000000,0000000000,United States,US,60541340,Engineering and drafting services,0,1031700,778200,255700,38.9,1513.21,38.90,38.8,1738.24,44.80,0,0,0,0,0,0,1032000,787500,254300,39.2,1491.95,38.06,38.8,1698.28,43.77,0,0,0,0,0,0,1028400,776100,254300,39.1,1525.29,39.01,38.8,1732.03,44.64,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1652,3300,-300,2100,-9300,4,6054134,False,60541300,No,No,No,Engineering and drafting services:60541340
,,,00,00,000000,0000000000,United States,US,60541370,"Building inspection, surveying, and mapping services",0,90300,69100,22500,36.9,999.99,27.10,36.2,1141.39,31.53,0,0,0,0,0,0,91300,70700,21900,38.6,1061.50,27.50,38.9,1216.40,31.27,0,0,0,0,0,0,90400,69100,21900,37.6,1008.43,26.82,36.5,1147.56,31.44,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1653,-100,-1000,0,-1600,4,6054137,False,60541300,No,No,No,"Building inspection, surveying, and mapping services:60541370"
,,,00,00,000000,0000000000,United States,US,60541380,Testing laboratories,0,169400,132600,59700,37.9,1058.55,27.93,38.8,1298.25,33.46,0,0,0,0,0,0,176500,137100,62300,39.0,1056.90,27.10,39.9,1279.19,32.06,0,0,0,0,0,0,169800,133700,60000,39.0,1084.20,27.80,39.4,1288.77,32.71,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1654,-400,-7100,-1100,-4500,4,6054138,False,60541300,No,No,No,Testing laboratories:60541380
,,,00,00,000000,0000000000,United States,US,60541400,Specialized design services,0,134000,100500,74700,35.8,1065.77,29.77,36.5,1295.02,35.48,0,0,0,0,0,0,140700,108700,72800,37.4,1127.98,30.16,38.1,1404.37,36.86,0,0,0,0,0,0,134200,99900,74800,35.7,1073.86,30.08,36.4,1288.20,35.39,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1655,-200,-6700,600,-8200,3,605414,True,60540000,No,No,No,Specialized design services:60541400
,,,00,00,000000,0000000000,United States,US,60541410,Interior design services,0,44600,0,31000,0.0,0.00,0.00,36.4,1331.15,36.57,0,0,0,0,0,0,47700,0,32300,0.0,0.00,0.00,35.8,1224.72,34.21,0,0,0,0,0,0,45300,0,31700,0.0,0.00,0.00,35.8,1259.80,35.19,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1656,-700,-3100,0,0,4,6054141,False,60541400,No,No,No,Interior design services:60541410
,,,00,00,000000,0000000000,United States,US,60541430,Graphic design services,0,59000,43900,28000,35.6,1134.93,31.88,37.2,1272.61,34.21,0,0,0,0,0,0,58400,45400,27300,39.1,1231.26,31.49,39.4,1359.30,34.50,0,0,0,0,0,0,57300,42200,27500,36.5,1165.45,31.93,37.5,1303.13,34.75,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1657,1700,600,1700,-1500,4,6054143,False,60541400,No,No,No,Graphic design services:60541430
,,,00,00,000000,0000000000,United States,US,60541500,Computer systems design and related services,0,2223000,1798100,745000,38.2,1729.31,45.27,38.5,1952.34,50.71,0,0,0,0,0,0,2228300,1802000,724800,39.9,1762.38,44.17,40.1,1982.14,49.43,0,0,0,0,0,0,2209800,1787300,736400,38.4,1732.99,45.13,38.7,1953.19,50.47,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1658,13200,-5300,10800,-3900,3,605415,True,60540000,No,No,No,Computer systems design and related services:60541500
,,,00,00,000000,0000000000,United States,US,60541511,Custom computer programming services,0,979700,778400,337000,38.1,1735.46,45.55,38.0,1923.18,50.61,0,0,0,0,0,0,986900,788300,326300,40.0,1790.00,44.75,40.3,2016.21,50.03,0,0,0,0,0,0,977900,777900,333900,38.5,1750.98,45.48,38.3,1924.19,50.24,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1659,1800,-7200,500,-9900,4,,False,60541500,No,No,No,Custom computer programming services:60541511
,,,00,00,000000,0000000000,United States,US,60541512,Computer systems design services,0,1045200,857800,343900,38.3,1742.65,45.50,38.9,1996.35,51.32,0,0,0,0,0,0,1050000,861100,335000,39.8,1759.16,44.20,39.9,1986.62,49.79,0,0,0,0,0,0,1036800,850800,339800,38.3,1721.97,44.96,38.9,1962.12,50.44,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1660,8400,-4800,7000,-3300,4,,False,60541500,No,No,No,Computer systems design services:60541512
,,,00,00,000000,0000000000,United States,US,60541513,Computer facilities management services,0,77500,0,27400,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,74500,0,28500,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,76000,0,26900,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1661,1500,3000,0,0,4,,False,60541500,No,No,No,Computer facilities management services:60541513
,,,00,00,000000,0000000000,United States,US,60541519,Other computer-related services,0,120600,0,36700,0.0,0.00,0.00,38.5,1876.88,48.75,0,0,0,0,0,0,116900,0,35000,0.0,0.00,0.00,39.9,1819.04,45.59,0,0,0,0,0,0,119100,0,35800,0.0,0.00,0.00,39.0,2182.83,55.97,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1662,1500,3700,0,0,4,,False,60541500,No,No,No,Other computer-related services:60541519
,,,00,00,000000,0000000000,United States,US,60541600,Management and technical consulting services,0,1570200,1187600,753800,35.8,1345.36,37.58,37.1,1616.08,43.56,0,0,0,0,0,0,1560100,1190900,748800,36.2,1326.73,36.65,37.2,1593.28,42.83,0,0,0,0,0,0,1558300,1181700,745800,35.7,1356.24,37.99,37.0,1606.17,43.41,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1663,11900,10100,5900,-3300,3,605416,True,60540000,No,No,No,Management and technical consulting services:60541600
,,,00,00,000000,0000000000,United States,US,60541610,Management consulting services,0,1268800,949300,634400,35.9,1333.69,37.15,37.1,1601.98,43.18,0,0,0,0,0,0,1272900,973600,643800,36.3,1342.01,36.97,37.5,1616.25,43.10,0,0,0,0,0,0,1260300,942300,629900,36.1,1363.14,37.76,37.3,1615.46,43.31,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1664,8500,-4100,7000,-24300,4,6054161,True,60541600,No,No,No,Management consulting services:60541610
,,,00,00,000000,0000000000,United States,US,60541611,Administrative management consulting services,0,681900,509900,355400,36.0,1402.56,38.96,37.0,1662.04,44.92,0,0,0,0,0,0,674400,515500,349800,36.6,1454.48,39.74,37.0,1691.64,45.72,0,0,0,0,0,0,677100,507900,352100,36.2,1429.90,39.50,37.0,1667.22,45.06,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1665,4800,7500,2000,-5600,5,,False,60541610,No,No,No,Administrative management consulting services:60541611
,,,00,00,000000,0000000000,United States,US,60541612,Human resource consulting services,0,73400,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,81100,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,73300,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1666,100,-7700,0,0,5,,False,60541610,No,No,No,Human resource consulting services:60541612
,,,00,00,000000,0000000000,United States,US,60541613,Marketing consulting services,0,261000,185400,133900,37.2,1266.66,34.05,37.5,1702.50,45.40,0,0,0,0,0,0,276300,202700,143500,36.7,1204.86,32.83,38.5,1627.78,42.28,0,0,0,0,0,0,258200,182000,131000,36.3,1301.72,35.86,37.6,1725.84,45.90,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1667,2800,-15300,3400,-17300,5,,False,60541610,No,No,No,Marketing consulting services:60541613
,,,00,00,000000,0000000000,United States,US,60541614,Process and logistics consulting services,0,141200,110000,46700,38.3,1170.07,30.55,39.0,1343.55,34.45,0,0,0,0,0,0,135900,107900,49200,39.8,1073.80,26.98,39.5,1325.23,33.55,0,0,0,0,0,0,139500,106200,46900,39.3,1199.83,30.53,39.9,1382.14,34.64,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1668,1700,5300,3800,2100,5,,False,60541610,No,No,No,Process and logistics consulting services:60541614
,,,00,00,000000,0000000000,United States,US,60541618,Other management consulting services,0,111300,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,105200,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,112200,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1669,-900,6100,0,0,5,,False,60541610,No,No,No,Other management consulting services:60541618
,,,00,00,000000,0000000000,United States,US,60541620,Environmental consulting services,0,89000,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,90800,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,88600,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1670,400,-1800,0,0,4,6054162,False,60541600,No,No,No,Environmental consulting services:60541620
,,,00,00,000000,0000000000,United States,US,60541690,Other technical consulting services,0,212400,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,196400,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,209400,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1671,3000,16000,0,0,4,6054169,False,60541600,No,No,No,Other technical consulting services:60541690
,,,00,00,000000,0000000000,United States,US,60541700,Scientific research and development services,0,790900,594300,360600,37.9,1757.04,46.36,37.7,2026.00,53.74,0,0,0,0,0,0,756000,570300,344400,37.7,1664.46,44.15,37.8,1987.90,52.59,0,0,0,0,0,0,783300,588200,354900,38.1,1756.79,46.11,37.7,2022.98,53.66,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1672,7600,34900,6100,24000,3,605417,True,60540000,No,No,No,Scientific research and development services:60541700
,,,00,00,000000,0000000000,United States,US,60541710,"Research and development in the physical, engineering, and life sciences",0,727900,547000,321400,38.5,1801.80,46.80,38.1,2064.26,54.18,0,0,0,0,0,0,692000,520400,306500,38.5,1717.87,44.62,38.4,2044.42,53.24,0,0,0,0,0,0,723200,543400,317500,38.6,1793.36,46.46,38.1,2064.26,54.18,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1673,4700,35900,3600,26600,4,6054171,True,60541700,No,No,No,"Research and development in the physical, engineering, and life sciences:60541710"
,,,00,00,000000,0000000000,United States,US,60541713,Research and development in nanotechnology,0,24200,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,21200,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,23700,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1674,500,3000,0,0,5,,False,60541710,No,No,No,Research and development in nanotechnology:60541713
,,,00,00,000000,0000000000,United States,US,60541714,"Research and development in biotechnology, except nanobiotechnology",0,243700,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,223300,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,242400,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1675,1300,20400,0,0,5,,False,60541710,No,No,No,"Research and development in biotechnology, except nanobiotechnology:60541714"
,,,00,00,000000,0000000000,United States,US,60541715,"Research and development in the physical, engineering, and life sciences, except nanotechnology and biotechnology",0,460000,349600,185900,38.7,1866.50,48.23,38.9,2075.70,53.36,0,0,0,0,0,0,447500,339700,178800,38.8,1828.64,47.13,39.2,2076.03,52.96,0,0,0,0,0,0,457100,347900,183200,39.0,1880.58,48.22,38.9,2088.15,53.68,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1676,2900,12500,1700,9900,5,,False,60541710,No,No,No,"Research and development in the physical, engineering, and life sciences, except nanotechnology and biotechnology:60541715"
,,,00,00,000000,0000000000,United States,US,60541720,Social science and humanities research,0,63000,47300,39200,30.7,1225.24,39.91,32.6,1557.30,47.77,0,0,0,0,0,0,64000,49900,37900,28.8,1081.73,37.56,31.6,1389.77,43.98,0,0,0,0,0,0,60100,44800,37400,31.4,1285.52,40.94,33.4,1553.43,46.51,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1677,2900,-1000,2500,-2600,4,6054172,False,60541700,No,No,No,Social science and humanities research:60541720
,,,00,00,000000,0000000000,United States,US,60541800,Advertising and related services,0,437500,318000,229000,33.8,1122.84,33.22,35.8,1617.44,45.18,0,0,0,0,0,0,484400,357300,262500,37.0,1147.37,31.01,38.5,1647.03,42.78,0,0,0,0,0,0,432100,312100,225600,34.3,1143.22,33.33,35.9,1608.68,44.81,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1678,5400,-46900,5900,-39300,3,605418,True,60540000,No,No,No,Advertising and related services:60541800
,,,00,00,000000,0000000000,United States,US,60541810,Advertising agencies,0,187900,133900,95900,35.9,1281.99,35.71,37.3,1824.72,48.92,0,0,0,0,0,0,204000,143500,107100,39.8,1377.08,34.60,40.5,1955.34,48.28,0,0,0,0,0,0,186000,131600,94900,36.1,1297.80,35.95,37.4,1801.56,48.17,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1679,1900,-16100,2300,-9600,4,6054181,False,60541800,No,No,No,Advertising agencies:60541810
,,,00,00,000000,0000000000,United States,US,60541820,Public relations agencies,0,58600,37300,37800,36.7,1356.07,36.95,37.8,1918.35,50.75,0,0,0,0,0,0,59600,38100,38600,39.3,1433.27,36.47,39.9,1950.31,48.88,0,0,0,0,0,0,58100,36900,37400,36.1,1301.41,36.05,37.3,1870.22,50.14,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1680,500,-1000,400,-800,4,6054182,False,60541800,No,No,No,Public relations agencies:60541820
,,,00,00,000000,0000000000,United States,US,60541840,Media buying agencies and media representatives,0,33400,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,35500,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,33600,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1681,-200,-2100,0,0,4,6054184,False,60541800,No,No,No,Media buying agencies and media representatives:60541840
,,,00,00,000000,0000000000,United States,US,60541850,Display advertising,0,32000,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,35700,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,30400,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1682,1600,-3700,0,0,4,6054185,False,60541800,No,No,No,Display advertising:60541850
,,,00,00,000000,0000000000,United States,US,60541860,Direct mail advertising,0,37200,0,19700,0.0,0.00,0.00,35.6,1009.26,28.35,0,0,0,0,0,0,40400,0,20700,0.0,0.00,0.00,37.8,1001.70,26.50,0,0,0,0,0,0,37200,0,19400,0.0,0.00,0.00,36.8,1034.45,28.11,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1683,0,-3200,0,0,4,6054186,False,60541800,No,No,No,Direct mail advertising:60541860
,,,00,00,000000,0000000000,United States,US,60541890,Advertising material distribution and other advertising services,0,88400,67500,46400,35.1,918.92,26.18,35.1,1208.14,34.42,0,0,0,0,0,0,109200,88000,66500,31.5,759.47,24.11,32.5,911.30,28.04,0,0,0,0,0,0,86800,65700,45100,35.3,911.45,25.82,35.3,1224.56,34.69,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1684,1600,-20800,1800,-20500,4,6054189,False,60541800,No,No,No,Advertising material distribution and other advertising services:60541890
,,,00,00,000000,0000000000,United States,US,60541900,Other professional and technical services,0,751000,613500,537100,30.6,801.72,26.20,31.8,983.89,30.94,0,0,0,0,0,0,754900,617300,522400,31.6,809.59,25.62,32.7,996.04,30.46,0,0,0,0,0,0,742900,607700,531500,31.0,795.77,25.67,32.3,981.92,30.40,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1685,8100,-3900,5800,-3800,3,605419,True,60540000,No,No,No,Other professional and technical services:60541900
,,,00,00,000000,0000000000,United States,US,60541910,Marketing research and public opinion polling,0,76500,57400,44200,28.4,1021.83,35.98,31.7,1417.31,44.71,0,0,0,0,0,0,87000,65800,49300,31.1,1041.54,33.49,33.7,1470.67,43.64,0,0,0,0,0,0,75000,56000,42900,27.7,981.41,35.43,32.3,1424.43,44.10,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1686,1500,-10500,1400,-8400,4,6054191,False,60541900,No,No,No,Marketing research and public opinion polling:60541910
,,,00,00,000000,0000000000,United States,US,60541920,Photographic services,0,36100,24200,20700,31.3,738.99,23.61,33.2,855.56,25.77,0,0,0,0,0,0,42700,29100,23600,29.6,674.29,22.78,31.9,779.00,24.42,0,0,0,0,0,0,33500,22800,18300,29.6,711.88,24.05,32.4,850.50,26.25,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1687,2600,-6600,1400,-4900,4,6054192,False,60541900,No,No,No,Photographic services:60541920
,,,00,00,000000,0000000000,United States,US,60541940,Veterinary services,0,437200,369700,374300,28.8,611.42,21.23,30.4,791.62,26.04,0,0,0,0,0,0,407100,343100,347000,29.3,587.76,20.06,30.5,746.95,24.49,0,0,0,0,0,0,435900,370200,373900,29.4,618.87,21.05,30.9,791.35,25.61,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1688,1300,30100,-500,26600,4,6054194,False,60541900,No,No,No,Veterinary services:60541940
,,,00,00,000000,0000000000,United States,US,60541990,Miscellaneous professional and technical services,0,201200,162200,97900,35.3,1164.90,33.00,34.7,1262.39,36.38,0,0,0,0,0,0,218100,179300,102500,36.6,1173.40,32.06,36.6,1315.40,35.94,0,0,0,0,0,0,198500,158700,96400,36.2,1157.31,31.97,35.4,1256.70,35.50,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1689,2700,-16900,3500,-17100,4,6054199,False,60541900,No,No,No,Miscellaneous professional and technical services:60541990
,,,00,00,000000,0000000000,United States,US,60550000,Management of companies and enterprises,0,2326400,1540100,1168200,37.3,1216.73,32.62,38.2,1690.35,44.25,0,0,0,0,0,0,2411200,1566700,1198800,37.8,1180.87,31.24,38.4,1658.50,43.19,0,0,0,0,0,0,2330800,1539300,1166600,37.6,1229.14,32.69,38.1,1688.59,44.32,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1690,-4400,-84800,800,-26600,2,6055,True,60000000,No,No,No,Management of companies and enterprises:60550000
,,,00,00,000000,0000000000,United States,US,60551112,Offices of bank holding companies and of other holding companies,0,84900,59400,40000,37.2,1438.15,38.66,39.1,2023.03,51.74,0,0,0,0,0,0,85000,60900,43600,39.9,1477.50,37.03,40.1,1970.11,49.13,0,0,0,0,0,0,84200,59700,39700,37.5,1463.63,39.03,39.1,2028.90,51.89,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1691,700,-100,-300,-1500,3,,False,60550000,No,No,No,Offices of bank holding companies and of other holding companies:60551112
,,,00,00,000000,0000000000,United States,US,60551114,Managing offices,0,2241500,1480700,1128200,37.3,1207.77,32.38,38.2,1679.27,43.96,0,0,0,0,0,0,2326200,1505800,1155200,37.7,1168.32,30.99,38.3,1645.37,42.96,0,0,0,0,0,0,2246600,1479600,1126900,37.6,1219.37,32.43,38.1,1677.54,44.03,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1692,-5100,-84700,1100,-25100,3,,False,60550000,No,No,No,Managing offices:60551114
,,,00,00,000000,0000000000,United States,US,60560000,Administrative and waste services,0,8465800,7448600,3769100,34.6,728.68,21.06,34.9,817.01,23.41,0,0,0,0,0,0,8982700,7962600,3993700,33.8,676.00,20.00,34.3,771.41,22.49,0,0,0,0,0,0,8406100,7392900,3728500,35.0,728.00,20.80,35.3,821.43,23.27,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1693,59700,-516900,55700,-514000,2,6056,True,60000000,No,No,No,Administrative and waste services:60560000
,,,00,00,000000,0000000000,United States,US,60561000,Administrative and support services,0,8025600,7083300,3683000,34.3,714.13,20.82,34.6,797.53,23.05,0,0,0,0,0,0,8532600,7587900,3907800,33.4,659.32,19.74,33.9,749.53,22.11,0,0,0,0,0,0,7964900,7028400,3642100,34.7,712.74,20.54,35.0,801.15,22.89,0,0,0,0,0,0,2021,03,02,2021,03,01,2020,03,02,"February, 2021","January, 2021","February, 2020","January, 2021 - February, 2021","February, 2020 - February, 2021",20210302,03202102,1694,60700,-507000,54900,-504600,3,60561,True,60560000,No,No,No,Administrative and support services:60561000
